Year,CO2 emissions (metric tons per capita),GDP (current US$),GDP growth (annual %),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Military expenditure (% of GDP),Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Urban population growth (annual %),GDP per capita (current US$),Population in largest city,Population in urban agglomerations of more than 1 million,"Population, female","Population, male","Population, male (% of total)","Population, female (% of total)",Mobile cellular subscriptions (per 100 people)
1978,17.30306507,2.18633E+11,3.953591265,24.606132,24.18568081,1.848887401,2.643203779,1.003520715,24036000,1.056458895,9096.058722,2905750,8742707,12041878,11994122,49.90065619,50.09934381,0
1979,18.2093278,2.43072E+11,3.804922884,26.40710403,25.7979202,1.711245918,2.669706197,0.99766936,24277000,1.050578234,10012.44397,2956414,8868894,12175105,12101895,49.8492177,50.1507823,0
1980,18.02276896,2.73854E+11,2.162616891,27.5872779,25.70881036,1.764448615,2.704456255,1.293244953,24593000,1.346125553,11135.43799,3008032,8998251,12344789,12248211,49.80364684,50.19635316,0
1981,17.26921369,3.06215E+11,3.503119536,26.44278045,25.67191743,1.709915638,2.738216596,1.240595387,24900000,1.30533307,12297.78569,3061725,9132887,12508542,12391458,49.76488988,50.23511012,0
1982,16.45944925,3.13507E+11,-3.202024839,25.24374762,21.35878151,1.954343585,2.771427095,1.205555298,25202000,1.419292924,12439.74784,3132656,9302032,12668611,12533389,49.73172342,50.26827658,0
1983,16.0546492,3.40548E+11,2.598572697,24.97218191,21.71764465,2.081196249,2.799359103,1.002811515,25456000,1.214785179,13377.89565,3205229,9475176,12803432,12652568,49.7036784,50.2963216,0
1984,16.55885484,3.55373E+11,5.925350318,27.98847565,24.48641261,2.117188855,2.826411364,0.961733829,25702000,1.171940588,13826.64999,3279588,9652677,12933351,12768649,49.67959268,50.32040732,0
1985,16.27010385,3.64756E+11,4.734082845,27.59383627,25.26828289,2.097376234,2.852803813,0.929446703,25942000,1.137905494,14060.46178,3355459,9833904,13059560,12882440,49.65862195,50.34137805,0.046378695
1986,15.45768406,3.77438E+11,2.161815553,27.02965011,26.05281724,2.109197118,2.88161557,1.004879395,26204000,1.198523749,14403.8287,3433952,10023234,13195995,13008005,49.64129378,50.35870622,0.22893703
1987,16.24667458,4.31317E+11,4.096464516,26.03623546,24.83363232,2.062576371,2.919664684,1.311767682,26550000,1.337907772,16245.45168,3523629,10260020,13373841,13176159,49.62771587,50.37228413,0.370210261
1988,16.95682428,5.07354E+11,4.429400975,26.07603127,25.28711517,1.986767119,2.95760383,1.291064804,26895000,1.317198149,18864.26292,3615776,10502977,13550793,13344207,49.61594132,50.38405868,0.751945184
1989,16.92078279,5.65056E+11,2.323973923,25.05463166,24.99469378,1.934614309,3.010828602,1.783590046,27379000,1.809715688,20638.29005,3710070,10751239,13798061,13580939,49.60348639,50.39651361,1.263177571
1990,15.65907038,5.9393E+11,0.154346036,25.07211431,24.89491296,1.958793742,3.05613564,1.493593109,27791000,1.519714007,21371.2911,3806957,11005973,14009770,13781230,49.58882451,50.41117549,2.108015548
1991,15.14925974,6.10328E+11,-2.125692233,24.33725704,24.86482003,1.895444339,3.097998683,1.360506174,28171682,1.410113263,21664.59864,3904154,11259740,14206688,13964994,49.57103517,50.42896483,2.766417899
1992,15.46230657,5.92388E+11,0.882976026,26.17989187,26.53756395,1.8616877,3.136258386,1.2274176,28519597,1.57528573,20771.25035,3975528,11427441,14387814,14131783,49.55113115,50.44886885,3.616820537
1993,15.45362956,5.77171E+11,2.655235883,29.1321071,29.11276806,1.821753504,3.170767943,1.094331921,28833410,1.438396725,20017.42985,4048005,11597741,14551739,14281671,49.53167412,50.46832588,4.642708135
1994,15.6928759,5.78139E+11,4.493474619,32.77919005,31.61909901,1.696680257,3.201393741,0.961244717,29111906,1.300261364,19859.20398,4121907,11771403,14696788,14415118,49.51623003,50.48376997,6.42791606
1995,15.93097506,6.04032E+11,2.677708436,36.10503599,32.99238938,1.554090071,3.228016464,0.828159179,29354000,1.164742225,20577.48939,4197157,11948259,14821658,14532342,49.50719521,50.49280479,8.829776864
1996,16.15737155,6.28546E+11,1.611048031,37.10915576,33.19035779,1.403752581,3.262975463,1.077164681,29671900,1.431860375,21183.22008,4274256,12129243,14982770,14689130,49.50518914,50.49481086,11.80799208
1997,16.51685906,6.52825E+11,4.279812433,38.14318366,36.24187135,1.246243202,3.297648543,1.057015395,29987200,1.554802761,21770.13408,4355039,12317138,15140827,14846373,49.50903328,50.49096672,14.0286224
1998,16.7460786,6.31813E+11,3.881759144,40.0448098,38.11404094,1.256293902,3.326317341,0.865613663,30247900,1.354590186,20887.83947,4437464,12508655,15270066,14977834,49.51693678,50.48306322,17.71481298
1999,16.89846016,6.76083E+11,5.1632109,41.87719522,38.31676052,1.241703064,3.353952434,0.827369318,30499200,1.307641359,22167.22585,4521449,12703601,15394068,15105132,49.52632311,50.47367689,22.69345349
2000,17.36711469,7.42293E+11,5.182690286,44.23746802,38.62025799,1.11808088,3.383698924,0.882998577,30769700,1.355943935,24124.16917,4607142,12902321,15527833,15241867,49.53531186,50.46468814,28.39362459
2001,16.98502952,7.3638E+11,1.770819089,42.03620326,36.37011675,1.137368973,3.418031101,1.009521666,31081900,1.426376381,23691.59472,4693504,13105496,15682901,15398999,49.54330144,50.45669856,34.32422881
2002,16.55937785,7.57951E+11,3.010016308,40.0344024,35.69828795,1.120852292,3.448833289,0.897131277,31362000,0.994818992,24167.80431,4776698,13322797,15821913,15540087,49.55068968,50.44931032,37.9044158
2003,17.46119914,8.92381E+11,1.802273312,36.82783938,33.01560007,1.115878799,3.48336341,0.996232739,31676000,1.09507088,28172.14883,4861366,13543850,15978061,15697939,49.55783363,50.44216637,42.02314887
2004,17.25891114,1.0232E+12,3.085961209,37.28795097,32.89259588,1.107966027,3.518443373,1.002034424,31995000,1.09952778,31979.87195,4947655,13769036,16136529,15858471,49.56546624,50.43453376,47.01181245
2005,17.25108328,1.16936E+12,3.201382137,36.7951092,32.91473422,1.110669655,3.5533034,0.985903767,32312000,1.082053833,36189.58838,5035232,13997491,16293676,16018324,49.57391728,50.42608272,52.70258468
2006,16.69669436,1.31542E+12,2.623412623,35.32934774,32.65183718,1.125832408,3.581730817,0.796844597,32570505,0.91035488,40386.69948,5124530,14230714,16420913,16149592,49.58348593,50.41651407,57.43244785
2007,16.85588274,1.46498E+12,2.06274769,34.15316625,32.03887814,1.188901783,3.61663736,0.969853611,32887928,1.197738536,44544.5268,5215742,14471528,16577614,16310314,49.59362119,50.40637881,61.40957528
2008,16.87519788,1.54913E+12,1.000360973,34.32313544,32.60109515,1.248621382,3.655989052,1.082197086,33245773,1.308319243,46596.33599,5308706,14716983,16754869,16490904,49.60300922,50.39699078,66.13620397
2009,15.96156016,1.37115E+12,-2.949587643,28.43575045,29.91249645,1.381043981,3.698084788,1.144840183,33628571,1.367975607,40773.45436,5403064,14966140,16945444,16683127,49.60997891,50.39002109,70.47060993
2010,15.723167,1.61346E+12,3.08351422,29.07195642,30.98877285,1.197153652,3.739510266,1.113959721,34005274,1.335367053,47447.47602,5499233,15220102,17134047,16871227,49.61356117,50.38643883,75.58210932
2011,15.63975962,1.78865E+12,3.141219001,30.56462375,31.76399864,1.196084458,3.776625307,0.987617711,34342780,1.183873173,52082.21076,5592607,15471253,17304245,17038535,49.61315038,50.38684962,77.71010667
2012,14.89063564,1.82429E+12,1.745472283,30.2136045,32.18353222,1.121099973,3.821466628,1.180344799,34750545,1.230889992,52496.69487,5660142,15682310,17510939,17239606,49.60959962,50.39040038,79.42532966
2013,14.71197182,1.84263E+12,2.475001859,30.16333848,31.81005643,1.004858419,3.865654736,1.149678596,35152370,1.200196859,52418.31506,5728303,15896215,17715017,17437353,49.605056,50.394944,80.44136099
2014,15.11715878,1.79927E+12,2.855739204,31.53689616,32.52072677,0.995806097,3.907770267,1.083587809,35535348,1.132850034,50633.20882,5797381,16113912,17908981,17626367,49.60234913,50.39765087,80.85723896
2015,..,1.55252E+12,1.000882494,31.61644997,34.13887514,1.155909488,3.940449068,0.832774622,35832513,0.88324399,43327.17364,5867292,16335177,18058362,17774151,49.60341818,50.39658182,82.79621957
2016,..,1.52695E+12,1.414102746,31.18991572,33.63884409,1.185867674,3.987965483,1.198650352,36264604,1.249092503,42105.90006,5938144,16560395,18274152,17990452,49.60884618,50.39115382,84.74001333
2017,..,1.64712E+12,3.047350681,31.04885644,33.40746881,1.253960038,4.03673422,1.215480691,36708083,1.276964184,44870.77616,6009852,16789334,18494333,18213750,49.61781827,50.38218173,86.53568096
2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
